Num,Review,Review_type
0,"иә, ол әлі оған ұқсайды, бірақ менің балам әлі де жақсы d",good
1,рт жақсы сен ақымақ мен сен үшін қорқатынмын,good
2,"rt біреу бұрышта отырады және аштықтан қайтыс болады, біз тағы екі бөлікті алдық, дегенмен біз бәрібір тамақтанғымыз келмейді dd",good
3,"бұл сұмдық оқиға дегенді білдіреді, бірақ лағынет, барлық бөліктерге қарап сіз авторлар бір нәрсе шеккендей сезінесіз",good
4,"жақсы, қаласаң да, қаламасаң да, кім екеніңді білмеймін д",good
5,"rt oh 9 d, әрине, сондықтан ол көптеген достарға ие, өйткені ол өте mimimi lt 3",good
6,"rt сенің жігітің бар, менің құлағым ешкім жемейді d",good
7,менің жаңа оқырманыма қош келдіңіз,good
8,қазір менде сидней сиднейопераусы бар,good
9,"Мен анам мен әкемді жақсы көремін, ал қалғанын мен қатты жақсы көремін",good
10,"rt, әйтеуір, кеше біздің котенка ауылдан келгенін ұмытып кетіп, таңертең маған жақсы сөйлесуге келгенде қорқып кетті",good
11,иә ойластырылды,good
12,иә сен сен тек сен ғана,good
13,"жоқ, сіз пікірлерді әлі кесесіз, тек бір нұсқасы қатты кесілген, ал екіншісі қоқыссыз ғана аяқталған",good
14,"аспирантурада кездейсоқ ізде, ғылым ешкімді жақсылыққа апармады",good
15,rh ehh және ugatu-да олар басқару туралы ескертеді,good
16,әйтпесе сені сол жерде жүгірді деп ойладым,good
17,"бұл қарғыс атқан нәрсені бекерге қалжыңдап отырсың ба, мен оларға уақытты бұзған орыстармен жұмыс жасау туралы көптеген оқиғаларды көрдім",good
18,"аю үшін өте маңызды алғыс, ол клоун-аниматор болып жұмыс істеді",good
19,бізде бір аптада қалай өлуге болатындығы туралы керемет оқиға бар,good
20,"бүгін ішудің себептері өте көп, сондықтан мен енді отыра алмаймын",good
21,"мұңды, бәлкім, кенеттен ол бұған дейін сөгілген болатын",good
22,"rt 1 мобелев ауданы әкімшілігінің қолдауымен, Белев ауданы командасы",good
23,менің жаңа оқырманыма қош келдіңіз,good
24,"жату қандай жақсы, бірақ менің кедей кесілген бөксем қыдырғысы келеді",good
25,"ең болмағанда біреу саған қуантады, сен үшін бақытты, әлемде әділеттіліктің бар екеніне шын жүректен қуандым",good
26,неге мен түнді әлі қараңғыланбағандықтан шығармын,good
27,"қарғыс атқым келеді мен әр түрлі қоқыстарды жазғым келеді және жазғым келеді, бірақ бәрібір қалаймын",good
28,бірақ ең болмағанда маған не болғанын айт,good
29,rt сізге,good
30,"Алдымен қарамаймын, сондықтан оны Интернеттен жүктеймін, ВК-дағы топ сол жерде ериді, менің ойымша, барлық эпизодтар сол жерде",good
31,"ертегі демалыс күндері қарсаңында жарық мерекесі түнде серуендеп, жарықты бақылайды",good
32,"Мен бүгін рааааааа, өйткені бүгін сериалдар кітабы мен кофе мінсіз түн алдында бүкіл түн",good
33,бәрінен бұрын тізімі d,good
34,rt rt генераторы берік және жеңе алмайды,good
35,"Менде кейінірек суреттер жоқ, содан кейін мен лақтырамын",good
36,"Мен екінші күні қатарынан Ромамен армандаймын, Ромаакорн есімді жоғалтып алдым",good
37,"rt listen cat мен осылай жақсырақ тұра аламын, ол жақсы болады, бірақ керісінше менде ең жақсы адам бар",good
38,rt кез-келген қарақшыда RT түсіністік пен факт болмаған жағдайда өзінің саяси позицияларына өте қуанышты,good
39,"Оля, сен өте мейірімдісің, ал сен саған ашуланшақсың, бірақ мен сол жаратылыспын, ойлан, сен өзіңіз кеңседегі диалогқа осылай айттыңыз, мен оларды жақсы көремін",good
40,"Мен ертең мектепке бірінші рет бармаймын, анам мені жіберуге рұқсат бермеді, сондықтан алғысымды білдіремін",good
41,маған қатал костюм киген еркектер қалай ұнайды?,good
42,"сондықтан бұл үлпілдек мал тәулік бойы ұйықтайды, тек тостағанның жанында айқайлап оянады",good
43,ахаха да норме дәрігеріммен Мен ештеңеден қорықпаймын,good
44,"менің супер сыныптастарыммен болашақ өнер және сән тарихшыларымен танысыңыз, жұманың түпнұсқалары",good
45,Мен кешкі биатлоннан көрінетін барлық нәтижелерді сізге қалдырамын,good
46,RT dyy бірақ мен бәрін түсіндім деп кім айтты ааххах,good
47,біздің туған ауылымыз Ригаға дерлік жетті,good
48,"О, сіздің Канар аралдарыңыз бен Мальдив аралдарыңызда жаңа тақырып өтті",good
49,"rt және тіреуіш енді қайтадан көтеріледі, Әлем бәрін орнына келтірді",good
50,prifetigg sun kag tfai dila mnu sichas ff логопедке барыңыз,good
51,"иә мен IG-ден фотосурет таптым және кез-келген нәрсені мені фотосуреттермен ұялтпай алдап алдым, қазірдің өзінде ВКонтактеде мәртебелер бар",good
52,"Төменгі бөлігінде салқын ауа райы бар, бірақ бізде керемет импорт бар, біз кіреміз",good
53,"қысқасы, мен, әрине, ол жерде ешқандай архитектуралық жерге бармаймын",good
54,"Сонымен, 18-де, мен оны жасаймын, ал сен",good
55,"Жылауда үмітпен жылаңыз, содан кейін мен оларды жұлып аламын",good
56,"және менікі, айқайлаудан басқа, балкондағы құйрықты бір минутқа қатырып, отыруды сұрайды",good
57,достар сіздерге қонаққа келгенде бәрі қатты ауырады,good
58,"мама, мен сорамын, таблетка ішіп, келесі аптада жұмысқа барамын, саунаға барамын, анам қолдауы және ынталандыруы мүмкін",good
59,"3 мың пальто үшін онша қымбат емес, кролдың бағасы 2 мың рубльден аспайды",good
60,rt балалар балалар фотосуреттерін аваға қойғанда өте сүйкімді,good
61,"Ой, үйде ешкім сенің маған қарыз екеніңді есіңе алмайды d",good
62,"бәлкім, жақсы шығар, мен кеше үстелдің астына жаттым",good
63,"және жұмыс істеді, ал ондай емес, ол шығады, содан кейін шығады",good
64,"екеуіне де жақсы болар еді, айтпақшы, бүгіннен кейін мен баланы қатты жек көремін",good
65,"О, бір жыл ішінде мен түсінбейтін сұлу еркектерді неге тастап кеткенімді сағындым",good
66,"rt 15 минут ішінде серуендеуге шықты, қайтадан ылғалды жаңбыр жауды",good
67,студияда сізде қандай татуировка бар?,good
68,wow келесі жолы тырысу керек болады d,good
69,"ахахаха, мен бүгін Обломовты жарты күн, шамамен үш жарымға дейін ойнадым",good
