Num,Review,Review_type
0,да все таки он немного похож на него но мой мальчик все равно лучше d,good
1,rt ну ты идиотка я испугалась за тебя,good
2,rt кто то в углу сидит и погибает от голода а мы еще 2 порции взяли хотя уже и так жрать не хотим dd,good
3,вот что значит страшилка d но блин посмотрев все части у тебя создастся ощущение что авторы курили что то d,good
4,ну любишь или нет я не знаю кто ты бля d,good
5,rt ох 9 d ну это конечно же чтобы у нее было много друзей ведь она такая мимими lt 3,good
6,rt у тебя есть ухажер нет мои уши не кто не жрет d,good
7,поприветствуем моего нового читателя,good
8,теперь у меня есть частичка сиднея sydney sydneyoperahouse,good
9,люблю маму и папу а в остальное я так влюбляюсь привязываюсь,good
10,rt как то я забыла что вчера приехал из деревни наш котэня и испугалась когда он утром пришел ко мне общаться доброе у,good
11,так было задумано да,good
12,дааааа ты ты ты и только ты,good
13,о нет вы ведь все равно обзоры урезаете просто одна версия сильно порезанная а другая полная только без мусора,good
14,смотри там случайно в аспирантуру не попади наука никого до добра не доводила,good
15,rt эхх а в угату о контрольных предупреждают уже на контрольной,good
16,а а то подумала что у тебя там пробежечка,good
17,зря вы с этой хуйней шутите я много историй наблюдал в режиме рил времени по работе с русскими которые разбивались на них,good
18,очень главное спасибо for медвед он работал клоуном аниматором,good
19,у нас есть прекрасная история как сдохнуть за неделю,good
20,сегодня столько поводов выпить что я уже не могу усидеть на месте,good
21,унылый наверное вдруг его перед этим чпокнули,good
22,rt 1 при поддержке администрации мо белевский район сборная белевского района по,good
23,поприветствуем моего нового читателя,good
24,как же хооорошо валяться но мой бедный обколотый попец хочет на прогулку,good
25,хоть у кого то заебись все настюх рада за тебя пиздец прям искренне рада есть все же справедливость на свете,good
26,да почему мне похуй то новерное потому что еще не ночь темная,good
27,блин хочется писать и писать всякую хуйню пишу но все равно хочется,good
28,а мне хотя бы расскажите что по чем,good
29,rt для тебя,good
30,я по первому не смотрю поэтому качаю в инете найди группу в вк оттепель там думаю все серии есть,good
